code,stage,category,item,owner_role,requirement,blocking,expected_output,applies_to,responsible_party
DISC-001,MEDIA_DISCOVERY,media_profile,Confirm publisher and media property identity,media_manager,required,true,Publisher/property record,COMMON
DISC-002,MEDIA_DISCOVERY,property_identity,Record package bundle domain or platform identifier,media_manager,required,true,Unique property identifier,COMMON
DISC-003,MEDIA_DISCOVERY,traffic,Record DAU MAU daily requests evidence date and source,media_manager,required,true,Traffic evidence,COMMON
DISC-004,MEDIA_DISCOVERY,inventory,Identify initial ad inventory and intended formats,media_manager,required,true,Inventory summary,COMMON
DISC-005,MEDIA_DISCOVERY,ownership,Assign owner priority next action and target date,media_director,required,true,Owned discovery record,COMMON
BQUAL-001,BUSINESS_QUALIFICATION,assessment,Complete media assessment and commercial-fit review,media_manager,required,true,Media Assessment Report,COMMON
BQUAL-002,BUSINESS_QUALIFICATION,architecture,Record current ad stack and mediation providers,integration_manager,required,true,Current-state architecture,COMMON
BQUAL-003,BUSINESS_QUALIFICATION,integration_mode,Select direct mediation Origin Ads IVT or hybrid direction,integration_manager,required,true,Integration direction,COMMON
BQUAL-004,BUSINESS_QUALIFICATION,contacts,Confirm business engineering privacy and operations contacts,media_manager,required,true,Participant list,COMMON
BQUAL-005,BUSINESS_QUALIFICATION,forecast,Record request eCPM fill revenue and timing assumptions,sales_manager,required,true,Commercial forecast,COMMON
COMM-001,COMMERCIAL_AGREEMENT,legal,Confirm NDA MSA SOW and DPA scope,legal_manager,required,true,Agreement scope,COMMON
COMM-002,COMMERCIAL_AGREEMENT,commercial,Approve revenue share billing settlement and reporting terms,media_director,required,true,Approved commercial terms,COMMON
COMM-003,COMMERCIAL_AGREEMENT,privacy,Approve data-processing roles region retention and subprocessors,legal_manager,required,true,Approved data scope,COMMON
COMM-004,COMMERCIAL_AGREEMENT,pilot,Agree Pilot traffic limits responsibilities and exit conditions,operations_director,required,true,Pilot commercial scope,COMMON
TQ-001,TECHNICAL_QUALIFICATION,ownership,Assign internal integration owner and media engineering contact,integration_manager,required,true,Owner assignment,COMMON
TQ-002,TECHNICAL_QUALIFICATION,platform,Record minSdk targetSdk compileSdk AGP Gradle and Java or Kotlin versions,integration_manager,required,true,Toolchain profile,COMMON
TQ-003,TECHNICAL_QUALIFICATION,process,Record main process and secondary process architecture,integration_manager,required,true,Process architecture,COMMON
TQ-004,TECHNICAL_QUALIFICATION,dependencies,Review dependency tree AndroidX R8 and resource shrinking,integration_manager,required,true,Compatibility assessment,COMMON
TQ-005,TECHNICAL_QUALIFICATION,playbook,Assign versioned SDK playbook and source version,integration_manager,required,true,Pinned playbook version,COMMON
TQ-006,TECHNICAL_QUALIFICATION,formats,Map planned ad formats to logical placements,integration_manager,required,true,Placement implementation plan,ADS
TQ-007,TECHNICAL_QUALIFICATION,mediation,Record mediation networks and required adapter versions,integration_manager,conditional,true,Adapter matrix,MEDIATION
TQ-008,TECHNICAL_QUALIFICATION,privacy,Complete privacy data-category profile,legal_manager,required,true,Privacy data confirmation,COMMON
TQ-009,TECHNICAL_QUALIFICATION,consent,Confirm consent timing and personalized-ad setting,legal_manager,required,true,Consent implementation plan,COMMON
